Elemento,Comparacoes_Heap,Comparacoes_Fila
100,8,100
200,8,199
300,13,298
400,12,397
500,11,496
600,13,595
700,14,694
800,21,793
900,13,892
1000,13,991
1100,20,1090
1200,12,1189
1300,17,1288
1400,19,1387
1500,12,1486
1600,14,1585
1700,17,1684
1800,15,1783
1900,12,1882
2000,18,1981
2100,12,2080
2200,15,2179
2300,14,2278
2400,17,2377
2500,16,2476
2600,21,2575
2700,17,2674
2800,15,2773
2900,18,2872
3000,18,2971
3100,13,3070
3200,17,3169
3300,18,3268
3400,18,3367
3500,15,3466
3600,14,3565
3700,18,3664
3800,14,3763
3900,14,3862
4000,16,3961
4100,14,4060
4200,19,4159
4300,15,4258
4400,21,4357
4500,21,4456
4600,14,4555
4700,17,4654
4800,19,4753
4900,22,4852
